id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,year_released,popularity_score,explicit_content,artist_followers,spotify_streams,radio_friendly
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2022,87,0,2500,450.5,0.95
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2021,65,0,1200,120.3,0.45
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2020,76,1,3100,280.2,0.55
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2023,72,0,1800,95.7,0.42
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2024,91,0,4200,612.8,0.92
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2021,58,0,900,87.4,0.30
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2018,71,0,1500,156.2,0.78
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2019,78,0,2500,203.5,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2022,73,0,1200,110.1,0.48
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2020,82,0,2800,235.9,0.88
11,Urban Flow,Jet Black Crew,hip-hop,energetic,0.85,125,0.72,0.81,0.12,2023,85,1,3800,520.3,0.72
12,Neon Maze,Synthetic Dreams,electronic,mysterious,0.68,115,0.45,0.75,0.15,2021,68,0,1600,142.8,0.55
13,Iron Thunder,Chaos Knights,metal,dark,0.94,160,0.32,0.72,0.08,2019,61,1,2200,98.5,0.15
14,Dusty Roads,Whiskey Stones,country,melancholic,0.48,95,0.55,0.48,0.77,2009,52,0,1000,45.2,0.82
15,Island Vibes,Reggae Reef,reggae,peaceful,0.58,88,0.68,0.62,0.65,2017,67,0,1400,132.6,0.75
16,Symphony Dreams,Classical Elegance,classical,nostalgic,0.35,70,0.62,0.28,0.87,1998,48,0,500,28.3,0.35
17,Velvet Soul,Soul Whispers,soul,romantic,0.55,92,0.73,0.67,0.58,2015,69,0,1800,176.4,0.85
18,Broken Strings,Delta Blues,blues,sad,0.42,85,0.52,0.59,0.74,2003,51,0,860,52.1,0.70
19,Disco Fever,Glitter Groove,disco,playful,0.88,128,0.81,0.89,0.14,1978,72,0,1100,67.8,0.98
20,Evening Tales,Wooden Notes,folk,mellow,0.52,96,0.64,0.51,0.81,2010,55,0,1100,58.3,0.88
21,Acoustic Sunset,Stone & Echo,rock,chill,0.55,98,0.68,0.52,0.75,2016,68,0,1900,164.7,0.85
22,Fading Echoes,Silent Strings,rock,relaxed,0.50,85,0.62,0.45,0.82,2008,54,0,950,48.6,0.80
23,Soft Rebellion,The Gentle Chaos,alternative rock,mellow,0.56,92,0.70,0.58,0.70,2012,61,1,1500,89.2,0.65
24,Neon Nights,Synthwave Kings,synthwave,energetic,0.79,125,0.68,0.71,0.08,2023,79,0,2100,298.5,0.72
25,Midnight Thoughts,Dream Walker,lofi,focused,0.38,76,0.54,0.58,0.82,2024,74,0,1450,128.4,0.52
26,Electric Dreams,Circuit Breaker,electronic,happy,0.72,118,0.76,0.69,0.12,2022,81,0,2200,365.2,0.80
27,Heartbeat,Solo String,indie pop,romantic,0.64,102,0.72,0.65,0.48,2021,77,0,2600,245.8,0.82
28,Dark Shadows,Heavy Impact,metal,intense,0.96,175,0.28,0.68,0.05,2020,62,1,1950,112.3,0.12
29,Desert Wind,Outlaw Blues,country,sad,0.52,98,0.48,0.52,0.79,2011,54,0,1150,62.1,0.85
30,Tropical Storm,Island Sounds,reggae,happy,0.65,92,0.71,0.68,0.58,2019,70,0,1600,156.8,0.78
31,Minimalist Zen,Quiet Mind,ambient,peaceful,0.25,55,0.62,0.38,0.89,2023,63,0,950,94.2,0.28
32,Jazz Nocturne,Late Hour Jazz,jazz,melancholic,0.48,88,0.61,0.52,0.85,2017,62,0,1300,128.7,0.72
33,Bassline Prophet,Urban Legends,hip-hop,focused,0.88,130,0.68,0.78,0.15,2024,89,1,5200,748.3,0.68
34,Violin Concerto,Symphony Crown,classical,nostalgic,0.32,65,0.59,0.22,0.92,2005,49,0,620,35.8,0.32
35,Summer Love,Pop Starlight,pop,happy,0.80,120,0.82,0.76,0.22,2023,88,0,3100,520.1,0.94
36,Lost Highway,Country Roads,country,melancholic,0.45,92,0.52,0.48,0.81,2016,58,0,1250,71.3,0.88
37,Techno Pulse,Digital Frontier,electronic,energetic,0.91,138,0.64,0.82,0.08,2022,84,0,2800,412.6,0.65
38,Rain Dance,Native Spirits,world,peaceful,0.42,80,0.66,0.55,0.88,2018,59,0,1000,76.2,0.40
39,Chrome Hearts,Synth Legend,synthwave,moody,0.71,112,0.52,0.74,0.18,2021,75,0,2350,218.5,0.65
40,Acoustic Bliss,Folk Stories,folk,relaxed,0.48,85,0.70,0.50,0.88,2014,60,0,1600,98.4,0.91
41,Soulful Journey,Soul Legacy,soul,romantic,0.60,95,0.74,0.64,0.62,2016,72,0,2100,189.5,0.86
42,Bluesy Heartbreak,Vintage Blues,blues,sad,0.38,82,0.49,0.54,0.80,2006,48,0,780,38.5,0.75
43,Party Anthem,Club Vibes,electronic,playful,0.86,135,0.79,0.85,0.10,2024,92,1,4100,680.7,0.88
44,Midnight Whisper,Indie Dreams,indie pop,melancholic,0.55,92,0.58,0.60,0.52,2020,68,0,1900,156.2,0.62
45,Ancient Echoes,Timeless Voices,world,nostalgic,0.35,70,0.61,0.32,0.91,2011,52,0,850,64.3,0.38
46,Flowing Rivers,Nature Sounds,ambient,peaceful,0.22,50,0.65,0.35,0.94,2024,61,0,1100,82.1,0.25
47,Rock Redemption,Stone Giants,rock,intense,0.89,148,0.62,0.72,0.18,2021,77,1,3200,298.7,0.52
48,Groovy Nights,Funk Machine,funk,playful,0.82,124,0.80,0.81,0.25,2019,74,0,2400,235.6,0.82
49,Ethereal Skies,Indie Folk,indie pop,peaceful,0.50,88,0.71,0.58,0.78,2022,75,0,2200,167.3,0.75
50,Dystopian Echo,Cyberpunk,electronic,dark,0.74,128,0.41,0.73,0.12,2023,70,1,1800,189.4,0.58
51,Gentle Rain,Acoustic Tales,folk,relaxed,0.40,78,0.68,0.48,0.87,2015,63,0,1400,92.5,0.89
52,Neon Prophet,Future Sound,synthwave,mysterious,0.76,116,0.55,0.71,0.14,2023,76,0,2100,256.3,0.64
53,Rhythm & Blues,Soul Groove,R&B,romantic,0.68,100,0.75,0.70,0.45,2020,80,0,3000,398.2,0.85
54,Metal Fury,Hell's Gate,metal,dark,0.95,165,0.30,0.71,0.06,2022,59,1,1850,105.2,0.10
55,Indie Thunder,Bedroom Pop,indie pop,energetic,0.70,110,0.66,0.64,0.55,2023,79,0,2700,287.5,0.75
56,Cosmic Journey,Space Explorer,ambient,mysterious,0.30,58,0.60,0.40,0.90,2024,62,0,1050,91.6,0.32
57,Country Heartache,Rural Roads,country,sad,0.50,96,0.54,0.50,0.83,2018,56,0,1300,73.8,0.87
58,Festival Vibes,Live Energy,reggae,happy,0.72,96,0.73,0.71,0.62,2024,82,0,2200,301.4,0.81
59,Digital Lights,Neon City,pop,energetic,0.84,126,0.77,0.78,0.16,2024,89,0,3600,645.2,0.91
60,Melancholy Notes,Piano Dreams,classical,sad,0.28,62,0.48,0.20,0.93,2010,50,0,720,42.1,0.30
61,Thunder Storm,Rock Power,rock,intense,0.92,152,0.59,0.71,0.12,2019,74,1,2900,267.5,0.48
62,Urban Jungle,Hip Hop Kings,hip-hop,energetic,0.87,132,0.71,0.80,0.14,2024,91,1,6100,892.4,0.70
63,Starlight Serenade,Pop Dreams,pop,romantic,0.62,108,0.76,0.64,0.38,2022,83,0,2900,387.6,0.87
64,Woodland Walk,Forest Tales,folk,mellow,0.44,82,0.65,0.52,0.86,2017,61,0,1200,85.3,0.90
65,Synth Wave Revolution,New Era,synthwave,happy,0.75,120,0.70,0.72,0.16,2024,81,0,2600,320.8,0.70
66,Lofi Study,Study Sessions,lofi,focused,0.35,72,0.55,0.56,0.84,2023,78,0,3500,210.5,0.55
67,Deep Trap,Bass Heavy,hip-hop,intense,0.84,138,0.65,0.76,0.18,2023,86,1,4800,756.2,0.65
68,Acoustic Love,Guitar Hero,indie pop,romantic,0.58,96,0.74,0.62,0.81,2021,74,0,2100,178.9,0.84
69,Electronic Soul,Synth Dreams,electronic,romantic,0.66,112,0.72,0.68,0.20,2022,77,0,2200,265.3,0.72
70,Reggae Sunrise,Beach Vibes,reggae,peaceful,0.60,90,0.69,0.64,0.72,2020,68,0,1500,134.2,0.78
71,Horror Ambience,Dark Depths,ambient,dark,0.28,52,0.35,0.32,0.88,2021,45,0,680,58.3,0.20
72,Party People,Club Bangers,electronic,playful,0.89,140,0.81,0.87,0.09,2023,90,1,3800,612.5,0.85
73,Whispered Dreams,Intimate Jazz,jazz,romantic,0.45,86,0.68,0.58,0.82,2019,66,0,1400,118.6,0.76
74,Desert Blues,Sahara Sound,blues,melancholic,0.40,84,0.51,0.56,0.81,2009,49,0,920,54.7,0.72
75,Quantum Leap,Future Bass,electronic,energetic,0.88,142,0.62,0.80,0.10,2024,87,0,3200,578.4,0.68
76,Country Pride,Hometown Song,country,happy,0.58,100,0.71,0.62,0.77,2022,67,0,1800,142.3,0.89
77,Indie Sunrise,Morning Vibes,indie pop,happy,0.72,114,0.79,0.68,0.51,2024,85,0,3100,402.1,0.83
78,Jazz Evening,Smoky Room,jazz,relaxed,0.50,89,0.70,0.55,0.83,2016,65,0,1600,145.2,0.80
79,Cyberpunk Nights,Neon Glow,synthwave,intense,0.80,128,0.56,0.75,0.15,2023,78,1,2200,289.5,0.62
80,Folk Tradition,Heritage Sound,folk,nostalgic,0.42,80,0.62,0.50,0.87,2012,55,0,1100,71.8,0.85
81,Soul Serenade,Smooth Grooves,soul,relaxed,0.58,93,0.76,0.66,0.64,2018,71,0,1700,162.3,0.87
82,Metal Mayhem,Extreme,metal,dark,0.93,162,0.29,0.69,0.07,2021,58,1,1750,89.6,0.08
83,Tropical Paradise,Island Getaway,reggae,happy,0.70,94,0.75,0.72,0.68,2023,80,0,2000,278.5,0.82
84,Orchestral Drama,Epic Moments,classical,intense,0.65,95,0.68,0.48,0.89,2014,51,0,780,48.3,0.40
85,Bedroom Chill,Night Vibes,lofi,chill,0.36,74,0.57,0.59,0.80,2024,76,0,2800,195.3,0.48
86,Retro Synth,80s Dreams,synthwave,nostalgic,0.70,115,0.64,0.68,0.20,2020,72,0,1900,198.5,0.68
87,Gospel Soul,Temple Voices,soul,peaceful,0.55,90,0.78,0.60,0.72,2011,57,0,1250,68.4,0.75
88,Trap Nation,Bass Drop,hip-hop,intense,0.86,136,0.63,0.79,0.16,2023,88,1,5000,834.6,0.62
89,Whisper Wind,Breeze Whispers,ambient,peaceful,0.26,56,0.64,0.36,0.91,2023,64,0,1200,98.7,0.26
90,Punk Rock,Rebellion,rock,intense,0.87,145,0.61,0.73,0.14,2019,69,1,2500,186.4,0.45
